start,end,start_frame,end_frame,speaker
884.0278437500001,884.41596875,21216,21225,SPEAKER_02
887.03159375,895.9922187500001,21288,21503,SPEAKER_02
896.63346875,899.70471875,21519,21592,SPEAKER_02
900.1772187500001,902.96159375,21604,21671,SPEAKER_02
903.50159375,917.11971875,21684,22010,SPEAKER_02
917.60909375,918.11534375,22022,22034,SPEAKER_01
917.71034375,925.15221875,22025,22203,SPEAKER_02
920.0559687500001,920.83221875,22081,22099,SPEAKER_01
922.65471875,922.9753437500001,22143,22151,SPEAKER_01
924.34221875,926.99159375,22184,22247,SPEAKER_01
927.68346875,927.9365937500002,22264,22270,SPEAKER_01
927.9365937500002,928.0378437500001,22270,22272,SPEAKER_02
928.0378437500001,930.0290937500001,22272,22320,SPEAKER_01
928.8984687500001,929.9953437500001,22293,22319,SPEAKER_02
930.0290937500001,930.0459687500002,22320,22321,SPEAKER_02
930.0459687500002,930.82221875,22321,22339,SPEAKER_01
930.1809687500001,930.7547187500002,22324,22338,SPEAKER_02
931.2947187500001,933.8428437500002,22351,22412,SPEAKER_01
932.8134687500001,933.3872187500001,22387,22401,SPEAKER_02
933.4040937500001,933.45471875,22401,22402,SPEAKER_02
935.54721875,944.99721875,22453,22679,SPEAKER_01
945.30096875,947.0222187500001,22687,22728,SPEAKER_01
947.98409375,949.4522187500002,22751,22786,SPEAKER_02
948.5915937500001,949.38471875,22766,22785,SPEAKER_01
951.46034375,953.6709687500002,22835,22888,SPEAKER_02
954.16034375,959.49284375,22899,23027,SPEAKER_02
959.7290937500002,968.0147187500002,23033,23232,SPEAKER_02
967.33971875,967.35659375,23216,23216,SPEAKER_01
968.1665937500002,972.84096875,23235,23348,SPEAKER_02
968.3015937500002,968.8078437500001,23239,23251,SPEAKER_01
969.5672187500002,970.46159375,23269,23291,SPEAKER_01
973.93784375,985.5478437500001,23374,23653,SPEAKER_02
986.88096875,991.85909375,23685,23804,SPEAKER_02
992.28096875,995.45346875,23814,23890,SPEAKER_02
