frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
187, 1, 7.758, 0.98, 1, 0.51, 0.48, 0.00, 0.00, 0.22, 0.00, 0.00, 0.71, 0.47, 0.00, 0.58, 0.36, 0.51, 0.00, 1.07, 0.24, 0.00, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0
188, 0, 7.799, 0.98, 1, 0.05, 0.00, 0.51, 1.27, 1.45, 0.00, 0.00, 2.19, 3.28, 1.50, 0.00, 0.00, 0.00, 0.00, 1.44, 0.69, 0.00, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
188, 1, 7.799, 0.98, 1, 0.54, 0.47, 0.00, 0.00, 0.29, 0.05, 0.00, 0.99, 0.60, 0.00, 0.66, 0.17, 0.53, 0.00, 1.62, 0.21, 0.00, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0
189, 0, 7.841, 0.98, 1, 0.00, 0.02, 0.31, 1.40, 1.49, 0.00, 0.00, 1.83, 3.29, 1.45, 0.00, 0.00, 0.00, 0.00, 1.52, 0.61, 0.00, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
189, 1, 7.841, 0.98, 1, 0.63, 0.50, 0.00, 0.00, 0.23, 0.26, 0.00, 1.28, 0.67, 0.00, 0.36, 0.00, 0.52, 0.00, 2.18, 0.57, 0.00, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0
190, 0, 7.883, 0.98, 1, 0.29, 0.14, 0.50, 1.14, 1.64, 0.08, 0.00, 1.90, 3.35, 1.48, 0.00, 0.00, 0.00, 0.00, 1.57, 0.82, 0.00, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
190, 1, 7.883, 0.98, 1, 0.49, 0.62, 0.00, 0.00, 0.27, 0.05, 0.06, 1.27, 0.80, 0.04, 0.19, 0.00, 0.32, 0.00, 2.87, 1.26, 0.00, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
191, 0, 7.925, 0.98, 1, 0.14, 0.15, 0.37, 1.04, 1.73, 0.15, 0.00, 2.07, 3.38, 1.48, 0.00, 0.00, 0.00, 0.00, 1.53, 1.07, 0.00, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
191, 1, 7.925, 0.98, 1, 0.55, 0.56, 0.00, 0.00, 0.29, 0.19, 0.25, 1.55, 0.75, 0.12, 0.22, 0.00, 0.29, 0.00, 3.04, 1.74, 0.00, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
192, 0, 7.966, 0.98, 1, 0.05, 0.13, 0.36, 1.30, 1.63, 0.09, 0.00, 1.93, 3.34, 1.43, 0.00, 0.00, 0.00, 0.00, 1.51, 1.14, 0.00, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
